시군명,관할군구명,관할읍면동명,시공소재지위치,시공사정보,시행사정보,민간공공구분명,임대분양구분명,규모별면적(㎥),총분양가구수(개),당월미분양가구수(개),분양청약일자,입주예정일자,준공여부구분명,비고
안양시,,동안구,경기도 안양시 동안구 호계동 533-3번지,투탑건설㈜,석수리버하임,민간,분양,42,2,2,Feb-24,Oct-24,미준공,
안양시,,동안구,경기도 안양시 동안구 호계동 533-3번지,투탑건설㈜,석수리버하임,민간,분양,40,2,2,Feb-24,Oct-24,미준공,
안양시,,동안구,경기도 안양시 동안구 호계동 533-3번지,투탑건설㈜,석수리버하임,민간,분양,49,10,10,Feb-24,Oct-24,미준공,
안양시,,동안구,경기도 안양시 동안구 호계동 533-3번지,투탑건설㈜,석수리버하임,민간,분양,48,10,10,Feb-24,Oct-24,미준공,
안양시,,동안구,경기도 안양시 동안구 호계동 533-3번지,투탑건설㈜,석수리버하임,민간,분양,49,10,10,Feb-24,Oct-24,미준공,
안양시,,동안구,경기도 안양시 동안구 호계동 533-3번지,투탑건설㈜,석수리버하임,민간,분양,49,10,10,Feb-24,Oct-24,미준공,
안양시,,동안구,경기도 안양시 동안구 호계동 533-3번지,투탑건설㈜,석수리버하임,민간,분양,49,5,5,Feb-24,Oct-24,미준공,
안양시,,동안구,경기도 안양시 동안구 호계동 992-1번지,디엘이앤씨㈜,덕현지구 주택재개발정비사업조합,민간,분양,36,24,2,Dec-24,Nov-24,준공,
안양시,,동안구,경기도 안양시 동안구 호계동 992-1번지,디엘이앤씨㈜,덕현지구 주택재개발정비사업조합,민간,분양,45,90,0,Dec-24,Nov-24,준공,
안양시,,동안구,경기도 안양시 동안구 호계동 992-1번지,디엘이앤씨㈜,덕현지구 주택재개발정비사업조합,민간,분양,59,523,0,Dec-24,Nov-24,준공,
안양시,,동안구,경기도 안양시 동안구 호계동 992-1번지,디엘이앤씨㈜,덕현지구 주택재개발정비사업조합,민간,분양,59,311,0,Dec-24,Nov-24,준공,
안양시,,동안구,경기도 안양시 동안구 호계동 992-1번지,디엘이앤씨㈜,덕현지구 주택재개발정비사업조합,민간,분양,59,72,0,Dec-24,Nov-24,준공,
안양시,,동안구,경기도 안양시 동안구 호계동 992-1번지,디엘이앤씨㈜,덕현지구 주택재개발정비사업조합,민간,분양,72,152,0,Dec-24,Nov-24,준공,
